State,     Apparel manufacturing,     Beverage and tobacco product manufacturing,     Chemical manufacturing,     Computer and electronic product manufacturing,"     Electrical equipment, appliance, and component manufacturing",     Fabricated metal product manufacturing,     Food manufacturing,     Furniture and related product manufacturing,     Leather and allied product manufacturing,     Machinery manufacturing,     Miscellaneous manufacturing,"     Motor vehicles, bodies and trailers, and parts manufacturing",     Nonmetallic mineral product manufacturing,     Other transportation equipment manufacturing,     Paper manufacturing,     Petroleum and coal products manufacturing,     Plastics and rubber products manufacturing,     Primary metal manufacturing,     Printing and related support activities,     Textile mills,     Textile product mills,     Wood product manufacturing,    Accommodation,    Administrative and support services,    Air transportation,    Ambulatory health care services,"    Amusement, gambling, and recreation industries","    Apparel, leather, and allied product manufacturing",    Broadcasting (except Internet),    Building material and garden equipment and supplies dealers,    Chemical manufacturing,    Clothing and clothing accessories stores,    Computer and electronic product manufacturing,    Computer systems design and related services,    Construction of buildings,    Couriers and messengers,    Credit intermediation and related activities,"    Data processing, hosting, and related services",    Durable goods manufacturing,"    Electrical equipment, appliance, and component manufacturing",    Electronics and appliance stores,    Fabricated metal product manufacturing,"    Fishing, hunting and trapping",    Food and beverage and tobacco products manufacturing,    Food and beverage stores,    Food services and drinking places,    Forestry and logging,"    Funds, trusts, and other financial vehicles",    Furniture and home furnishings stores,    Furniture and related product manufacturing,    Gasoline stations,    General merchandise stores,    Health and personal care stores,    Heavy and civil engineering construction,    Hospitals,    Insurance carriers and related activities,    Internet publishing and broadcasting 3/,    Legal services,    Lessors of nonfinancial intangible assets (except copyrighted works),    Local government,    Machinery manufacturing,    Mining (except oil and gas),    Miscellaneous manufacturing,"    Miscellaneous professional, scientific, and technical services",    Miscellaneous store retailers,"    Monetary Authorities- central bank, credit intermediation, and related services",    Monetary Authorities-central bank,    Motion picture and sound recording industries,    Motor vehicle and parts dealers,"    Motor vehicles, bodies and trailers, and parts manufacturing","    Museums, historical sites, and similar institutions",    Nondurable goods manufacturing,    Nonmetallic mineral product manufacturing,    Nonstore retailers,    Nursing and residential care facilities,    Oil and gas extraction,    Other information services 3/,    Other transportation equipment manufacturing,    Paper manufacturing,"    Performing arts, spectator sports, and related industries","    Performing arts, spectator sports, museums, and related activities",    Personal and laundry services,    Petroleum and coal products manufacturing,    Pipeline transportation,    Plastics and rubber products manufacturing,    Primary metal manufacturing,    Printing and related support activities,    Private households,    Publishing industries (except Internet),    Rail transportation,    Real estate,"    Religious, grantmaking, civic, professional, and similar organizations",    Rental and leasing services,    Rental and leasing services and lessors of nonfinancial intangible assets,    Repair and maintenance,    Scenic and sightseeing transportation,"    Securities, commodity contracts, and other financial investments and related activities",    Social assistance,    Specialty trade contractors,"    Sporting goods, hobby, musical instrument, and book stores",    State government,    Support activities for agriculture and forestry,    Support activities for mining,    Support activities for transportation,    Telecommunications,    Textile mills and textile product mills,    Transit and ground passenger transportation,    Truck transportation,    Warehousing and storage,    Waste management and remediation services,    Water transportation,    Wood product manufacturing,   Accommodation and food services,   Administrative and support and waste management and remediation services,   Air transportation,"   Arts, entertainment, and recreation",   Broadcasting (except Internet) and telecommunications,   Construction,"   Data processing, hosting, and other information services",   Durable goods manufacturing,   Educational services,   Farms,   Federal civilian,   Finance and insurance,"   Forestry, fishing, and related activities",   Health care and social assistance,   Information,   Management of companies and enterprises,   Manufacturing,   Military,   Mining (except oil and gas),"   Mining, quarrying, and oil and gas extraction",   Motion picture and sound recording industries,   Nondurable goods manufacturing,   Oil and gas extraction,   Other services (except government and government enterprises),   Other transportation and support activities,   Pipeline transportation,"   Professional, scientific, and technical services",   Publishing industries (except Internet),   Rail transportation,   Real estate and rental and leasing,   Retail trade,   State and local,   Support activities for mining,   Transit and ground passenger transportation,   Transportation and warehousing,   Truck transportation,   Utilities,   Warehousing and storage,   Water transportation,   Wholesale trade,"  Agriculture, forestry, fishing, and hunting","  Arts, entertainment, recreation, accommodation, and food services",  Construction,"  Educational services, health care, and social assistance",  Farm proprietors employment,  Federal civilian,"  Finance, insurance, real estate, rental, and leasing",  Government and government enterprises,  Information,  Manufacturing,  Military,"  Mining, quarrying, and oil and gas extraction",  Nonfarm proprietors employment 2/,  Other services (except government and government enterprises),  Private nonfarm employment,  Professional and business services,  Retail trade,  State and local,  Transportation and warehousing,  Utilities,  Wholesale trade, Farm employment, Government and government enterprises, Nonfarm employment, Private industries, Proprietors employment, Wage and salary employment,All industry total,Natural resources and mining,Private goods-producing industries 2/,Private services-providing industries 3/,Total employment (number of jobs),Trade,Transportation and utilities,Population,GDP_Growth
Alabama,3643,2285,10933,9372,5269,26785,32854,9956,160,11255,8520,43096,7281,20912,11227,2351,17170,17206,4401,5714,4080,16730,20389.8,175778.9,955,122918.2,19909,104.7,4154,20940,3410.5,20394,1095.6,2711.3,32084,8789,43464,1985,176382,680.6,7130,2548.6,1606,2388,34720,178072.9,7892,65.7,7777,897.2,19772,61649,20718,19236,53525,42962.2,0,2337.3,204,213419,982.9,5298,559.9,7175.9,24531,6184.4,0,2382,36104,6183.9,1452,94818,919.4,17708,48090.4,5062,663,3240.8,2649.5,16935,312.5,61896,1160.8,658,1811,3304.9,208.4,13205,6144,3356,114422.6,59271,9099,2037.9,36374,213,27840.6,37011.9,90386,12806,105472,6596,1097,8730,11760,503.5,5689,36708,12914,5648.3,949,1431.8,198462.7,181427.2,175,38608.6,3113.5,141706,451.3,21845.7,43128.8,1378.3,53388,123196.9,16703.6,261545.4,27088,21775.2,271200,29128,1477,11457,97.2,12236.4,249.9,170746,1025.1,247.7,157679.5,1058.4,670.7,125763.4,284249,318891,62.9,100.6,78961,2254.4,14962,699.9,137.4,81742,1987.9,6486.3,7189.1,16610.2,39001,8347.8,33680.3,401407,4720.4,34082.1,4038.5,1789.8,532334,5198.5,2173372,19644,14066.5,22149.2,5310.8,6234.5,11818.9,46214,34535.6,2574779,168819.1,571335,2049658,203354.7,3777.7,45048.9,123770.2,2620993,25885.4,11545.3,"4,874,747",0.0
Alaska,224,482,141,0,39,632,10542,0,90,137,826,0,461,0,0,383,0,31,432,0,144,750,12061.6,16152.2,6478,24477.6,5840.8,1.1,907,3788,9.3,2491,13.8,152.5,6147,0,5010,203,3850,1.6,697,33.5,9301,827.1,6233,24820.1,503,428.7,931,12.6,1910,10956,1690,4994,13352.7,2981.3,0,178,0,38637,12.1,6088,9,1557.4,4939,709.5,0,614,4660,4,410,12584,61.5,4409,4966.7,4702,133,32.3,0.8,4614,94,5870,435.5,0,9.7,1.9,21.8,1777,957,1,18476.2,7970,0,734.1,5110,2095,3449.6,12677.4,12798,2944,24536,446,7856,2916,4540,6.3,2554,3455,646,2082.8,1530,57.9,36881.7,18235,926.9,10958.7,1211.6,23939,62.1,240.4,6113.1,25.1,15218,12579.1,10634.4,55474.4,7354,4049.4,16434,25246,1447.4,18646,21.1,1311.6,3897.3,20727,775,3910.1,25284,82.9,0,22296.3,45648,63173,999.9,128.5,23269,294,2347,39.3,265.8,7430,409.5,1847.5,1972.1,4052.5,653,2081.2,6345.5,103637,1377.6,1551.9,2187,6344.6,95373,863,352341,3329.4,2228.6,6405.4,6339.5,780.9,1264.7,1088,10673.6,455978,38707.3,96026,361040,49380.9,6754.1,10278.1,28429.2,457066,3493.3,7120.4,"739,795",0.0
Arizona,1276,4103,7102,32419,3264,21550,13783,6767,554,7575,14503,2978,7343,26708,2231,280,4593,3993,7616,416,873,5256,52861.2,309478.9,14585,197164.7,37612.4,30.5,5067,25463,1007.6,26808,8397.2,3986.7,37485,0,89774,10594,132356,357.9,12666,1770.7,0,1933.2,60666,245840,0,100.5,11673,399.7,18203,67524,23800,18363,101066.2,74774.1,0,2615.1,905,266701,738.5,12854,1350.8,10951.6,36216,11183.2,0,7401,48345,670.7,2766,42827,836,49096,58695.4,8681,3052,6295,245.1,40534,2004.1,74348,100.4,398,564.6,676.3,488,26209,11497,2428,230580.9,43104,19521,5335.4,46771,1000,73626,73693.5,135517,15044,90965,15144,1175,13761,19159,127.3,34781,31413,12320,6750.4,0,291.3,298701.1,316229.3,3614.1,82916.5,5397.5,191365,3146.8,21784,82979.1,1967.3,55355,258082.8,17004.1,430619.9,56770,44955.8,175183,32800,3831.9,22710,327.3,4496.6,12.1,190432,1875.7,112.2,248733.4,1863.6,759.8,256342.3,395504,357666,61.1,703.3,128506,2151,13260,643.1,1.2,108022,2583.5,14286.6,12960.4,30312.9,18762,7297.1,70817.1,445821,10735.2,26280.6,3574.9,3905.1,811148,6259.7,3167027,35256.5,22847.9,29349.8,9860.3,6784.7,17816.6,33965,40221.8,3612848,270707.1,829910,2816903,310928.9,6488.5,45729.5,224977.6,3646813,40664.4,16645,"7,016,270",1.0
Arkansas,1147,1456,5609,2449,4996,15322,45796,3777,1216,11462,4415,0,3882,0,9572,1214,11096,8078,4477,165,1007,10133,13812.3,89851.4,963,71265,10714.7,80.4,2032,12032,941,10726,309.3,1100.9,18600,5755,20532,1856,78224,476.5,3921,1889.8,856,3791.1,21358,101834.6,4889,46.7,4174,236.8,12979,40962,10299,10227,44942.5,24776.5,0,726,81,108905,1146.8,2611,206.3,2475.6,15843,2781.2,0,1389,22683,502.9,695,82755,431.5,11956,34310.7,11163,428,946.3,1967.5,10242,217.6,31807,432.2,427,1377.4,1376.1,300.8,7567,4080,3171,63170.4,31365,6200,1032.8,20378,60,16575,47950.2,59827,6418,83244,8767,1980,5836,6518,77.8,3745,40459,9122,3695.1,43,937.4,115646.9,93546.5,98.4,21869.3,3055,88654,384.8,8459.7,23454.9,1682.2,20317,66578.4,15109.1,198468.5,16303,42203.7,160979,15839,387.6,15754,80.9,8968.3,864.6,91117,698.9,105.9,70089.5,505.4,701.4,70484.2,173351,192149,169.7,80.7,69581,2699.8,8177,463.6,2.1,50463,2279.3,3846.2,4491.3,11130.4,39341,2429.8,18395.7,228305,4026.1,17428,833.3,1421.9,309926,2779,1345451,12409.7,8733.8,12475.8,4850.8,3274,9142.3,54826,15738.8,1573756,104208.5,349267,1279315,119947.3,3701.2,25620.5,78588,1628582,17876.1,8124.9,"3,004,279",0.0
California,56828,63233,88692,280250,34862,138434,169861,41966,3771,81025,102386,29353,35726,89335,22345,12698,46441,18109,51665,8085,10090,28685,270559,1517465.9,54634,1075475.2,261353.5,3194.9,50436,129876,53687.5,209437,97081.5,58494.3,266803,129653,287111,50513,880131,4265.4,68864,13387.9,4436,28404.4,387424,1545779.8,5266,47041.9,60254,2599.3,62720,325274,138458,95871,439993.3,361827,0,34451.8,3143,1765077,12369.5,9764,13785,136158.6,192364,65702.6,1776,202633,219372,4946.7,19612,533709,4296.8,198936,326544.5,41524,92942,17617,2858.4,369883,25782.8,563779,11503.1,1921,4808.8,1823,3454.8,238502,117750,11308,1482194.7,308782,92880,25313.4,294332,7056,437578.2,899831,751975,85314,530244,239211,9065,105472,99655,1127.9,288557,219422,117326,58070.8,6670,2082.5,1816338.8,1575536.7,17474.1,676631.3,69132.8,1114649,78946.9,174254.6,555719.3,25526.2,248286,1201036.7,260408.8,2741844,613929,298852.6,1413840,205976,1153,60353,45884.6,109039.7,5248.1,1405395,16211.1,750.3,2201837.6,53679.9,1572.6,1603531.1,2078293,2295321,743.1,6516.1,942019,15695.1,64341,6887.6,1417.7,805465,37021.9,114976.1,95796.5,195838.3,64615,41768.6,583285.8,2749583,247644.2,283294.4,28115.1,7144.2,5502987,51652.5,20178220,346205,140745.9,246767.8,66524.6,33675,144893,241268,316651.5,22927803,2348697.4,5567602,17601469,2665348.9,44166.2,423257.1,1925440.3,23169071,285638.9,100199.6,"39,536,653",1.0
Colorado,1808,8404,7376,22212,2779,16292,23925,6667,401,13620,14901,0,9233,0,1382,874,6142,2108,6813,149,1845,4339,53668.6,210390.8,15029,169529.8,54279.8,46.7,7796,24811,1642,23196,4941.4,8519.7,47888,15971,54111,11585,102234,462.7,9751,1498.6,1030,4158,55033,246962.9,795,427.6,10501,529.9,13810,52753,17465,25046,69177.4,62979.9,0,3243.4,975,262170,1304.8,7149,1747.7,19152.5,34114,7485.4,0,6670,38545,106.5,3267,59119,1277.1,35458,47264,40581,3580,1872.9,104.5,46564,2332.1,72997,926.1,1273,696.3,244.6,447.5,20698,24286,2683,239470.9,58135,16343,3877.3,41839,988,94012.7,71791.9,166764,19714,117878,10897,12898,9649,31050,98.1,30736,28625,8554,9539.8,71,260.1,300631.5,219930.7,3972.2,106442.9,9061.1,239698,4243.3,14246.1,77420.2,2191,54158,230555.6,13066.5,357763.2,84967,51281.2,161353,52334,1087.4,60628,448.9,8119.3,5982.8,193669,1562.5,2987.7,358872.5,5843.1,677.7,260666.2,335151,380048,1335.7,504,113579,2006.2,9618,457.1,7.3,116260,2535.4,16768.4,18065.1,24410.4,30734,8514.8,67536.8,486540,19596.3,22365.4,4658.4,8406,907288,7607.8,3135148,47345.4,17866.1,27663.9,12174.7,3983.6,19015.1,43019,40837.2,3621688,287676.7,938022,2726685,328513.8,10941.5,51372,236304.7,3664707,36881.2,16158.3,"5,607,154",1.0
Connecticut,0,1906,8098,12034,8623,30259,8656,3090,0,14422,10523,0,2641,38425,2997,399,5847,0,6135,760,1346,1641,14928.2,120917.2,1224,122115.5,28258,103.9,6880,16008,4529.3,19869,1909.1,4030.8,22288,0,0,2557,129067,1450.8,6247,3772.4,488,1463.2,48142,131479.7,561,64.4,7001,198.4,7172,29543,15113,8032,65220.8,89261.1,0,2860.7,1041,150249,1792.9,1274,2418.6,10955.7,19262,6159.3,0,5402,23414,452.8,2393,36893,262.6,20855,68168.6,2160,3113,7070.5,310.4,25157,1262.3,48052,180.2,168,590.6,389.1,481.6,17935,11073,0,145923.9,31342,5331,3434.2,22464,240,102420.3,70988.8,85383,9125,76324,1387,111,3952,10499,205.5,25120,9994,10996,7239.8,854,94.2,146407.9,128157,462.9,57070.3,7768.8,115703,1703.9,19811.5,92195.1,251.2,17900,232809.2,2503.1,326493.6,39524,44770.5,165960,13596,325.7,3545,1555,7864.8,0,119793,1127.6,336.3,181700.2,2594.4,58.2,155730.1,221751,226573,3.4,867.6,63711,811.6,6668,684.7,279,69599,318.3,8579.2,7779.9,26841.7,5386,2827,74535.2,258069,13622,27676.3,2980.1,329.1,551182,4921.4,2032029,32038.8,13223.6,21143.5,4628,4299.5,17496.2,10479,26950.6,2290098,236289.2,556568,1744009,263239.9,647.4,36103.6,200185.6,2300577,30719.8,8927.4,"3,588,184",0.0
Delaware,164,430,2490,2986,711,1687,9466,812,0,779,1262,0,632,551,822,718,1597,0,708,0,115,457,4448.4,33489.2,331,25662.1,10016.4,1.8,478,4885,920.3,6331,557,665.3,7032,2243,28992,1113,10215,94.9,1956,143.4,0,821.8,10492,39198.7,0,83.7,2186,34.2,2674,9730,4428,3367,25770.2,17649.4,0,1583.1,0,26909,105.9,0,174.7,2095.2,4919,10862.4,0,523,7630,8.4,803,17070,56,4933,13406.6,527,366,83.5,190.9,4698,82.9,10640,387.2,0,239.1,28,30.8,1856,1299,0,33989.6,8811,0,2877.2,5671,51,19846.3,14806.2,20248,2556,32632,969,9,2093,2410,61.2,4537,3424,5542,1537.7,58,24.8,43647.1,35026.9,31.3,15600.4,503.5,30647,597.8,1310.8,10219.3,419.4,5668,81132.8,37.4,79645,6189,12635.5,27285,8603,3.8,0,46.2,2653.2,0,26978,290.1,3.4,40982.7,198.6,122.6,38709.8,62720,59541,0,94.3,19440,233.2,2309,303.1,1,13238,456.8,1868.5,2530,5603.3,2021,758.1,32353.7,73812,1346.1,3964,569.2,3.8,112599,967.9,500837,7568.1,2651.8,5445.8,1079.1,1033.6,2284.4,4121,6773.2,574649,63711,114620,464150,70484.1,460.6,6954.6,56756.4,578770,4936.2,2112.8,"961,939",1.0
District of Columbia,94,0,136,0,0,66,354,0,10,0,186,0,151,44,0,1,0,0,328,18,42,9,17488.8,56027.5,119,25267.2,3435.9,2,5553,1054,67.7,3361,38.2,3227.7,4874,0,8505,819,922,1.8,730,9.1,19,36.2,8037,56698.3,11,77,841,15,476,3513,2935,3234,31029.6,5839.3,0,12176.9,6,40365,7.2,63,12.4,11971.2,2057,2062.4,0,1292,231,0,1040,1125,42.5,1657,7865.5,487,3852,6.8,0.3,11599,911.7,12900,0.2,0,0.3,1.2,33.7,3551,6066,1778,40038.8,62954,970,211.2,1281,628,12821.1,15722.9,10254,1236,0,51,3,232,1947,3.3,8877,442,0,548.8,0,0.5,74187.1,56576.3,83.5,16986.6,3393.1,18362,1584,134.8,66533.1,0,196226,31159.8,81.8,79885.2,19529,3955.6,2047,14092,0,553,199.8,143.7,0,80686,116,13.6,165715.8,1714,106.2,41226,26128,40365,0,142.2,13522,42.6,2199,1.8,3.6,5600,0.8,5419.7,1419.8,10766.2,0,36171.8,16779.8,250683,6890.9,278.4,3542.8,0,103156,9135.5,640486,31480.7,1551.6,3644.5,509.5,1310.6,1168.9,0,43359,891169,86712.5,103156,788013,130071.6,0.8,1699.1,85013.4,891169,2720.6,1820.1,"693,972",0.0
Florida,5968,11527,24174,43736,11347,40244,36336,15368,1402,30489,39687,7410,22013,35860,8805,3061,13548,4722,21304,1500,4809,15408,211205.3,955081.5,41625,655949.6,212031.6,223.7,19800,87500,6450,124140,7623.1,10847.8,135143,61162,187428,24080,266284,1065.7,43868,3215.6,7176,6978.1,231016,848004.8,4740,33040.7,41034,836.1,45668,216968,92902,67846,317852,247180.7,0,15656.9,2310,692445,2757.2,5718,3862.6,40799.3,98115,18067,329,19821,156251,614.6,8198,132434,2860.3,101648,215591.7,20369,8114,4632.8,1650.1,133192,6086,332822,910,409,1370.9,1564.3,1444.1,99741,39340,5831,804581.8,188856,51765,14563,167013,4359,250011.8,179174.1,464696,46025,254997,48839,1349,64972,64721,334.3,109202,101796,42514,25573,13878,962.1,1059210.2,980654.5,10617.9,359507.6,23809.6,667685,8273.1,29994.4,234405,4015.8,137607,736057.2,62853.4,1368567.3,175876,151565.3,398718,92371,1224.8,27436,1963.4,19361.2,23.7,788432,7897.7,108.7,873904.9,7490.9,893.8,873219.8,1285135,947442,57.6,1360.5,445748,5044.6,27069,2189,3152.7,384475,6114.3,57685.8,45579.3,91088.3,38128,17441.6,212401.9,1177420,41537.1,49355.5,10054.5,1306.1,2899126,25086,10417731,119513.7,68221,80232.2,31265,16672.6,64531.1,78281,107728.3,11595151,830357.8,2937254,8736178,938086.1,7420.4,102355.2,728002.6,11673432,132752.1,47937.6,"20,984,400",1.0
Georgia,3785,6554,22909,10988,13658,30496,69262,12421,463,22306,16107,25313,17249,26437,19320,1089,23188,7426,15218,19862,29053,19030,53387,483945.4,40364,258378.3,49703.1,101.4,14663,41973,4813.9,49901,2176.7,8817.4,67925,0,83438,13077,201431,2429.1,20012,2967.7,1734,12871.7,97087,414969.5,8889,1115.9,18761,1018.1,30773,110058,38299,32597,161015.1,120100.4,0,6290.7,1271,403977,3504.8,5543,1510.4,21175.1,45908,26137.9,0,19021,73421,2754.6,3351,210703,2340.9,47349,67837.1,4641,4967,5226.5,4228,59878,1641.7,162467,508.4,515,2971.2,876.2,1288,35173,28256,0,285219.4,100892,23785,8865.9,77051,808,87596.6,103509.1,212315,22831,175995,15046,739,29076,53047,4275.5,45558,79334,43304,11574.3,435,1825.5,468356.5,495519.6,10748,114573.8,27739.4,312837,5689.3,26630.7,129631.7,2416.5,100624,329218.7,26719,590739.5,133031,87023.6,412134,89733,993,10923,2420.2,31058,0,375583,3983,277.9,435543.2,7162.5,1212.6,319141.3,596373,579972,37.9,443.3,280104,4666.6,22211,2397.7,45.9,237911,3466.5,17509.3,21183.6,41214.3,35081,13504.6,106946,770329,43011.4,57688.7,7452.8,1030.9,1383485,10118.3,5145897,64957.4,30294.1,43990.2,23774.9,10435.4,41782.4,54246,64947.6,5916226,473413.1,1418566,4551906,538360.6,4497.4,83369.7,390043.4,5970472,72076.4,34210.3,"10,429,379",1.0
Hawaii,1099,1023,463,275,0,459,7327,577,0,0,2073,2,1199,0,91,545,361,0,1082,0,295,626,46369.8,65473.5,9140,39170.5,10114.1,19.1,1107,4520,81.1,12921,30,608.3,14676,0,8616,614,6421,2.4,1341,36.4,1616,534,16049,73210.1,116,864.2,1690,17.4,2248,14675,6449,5243,17753,12516.2,0,718.8,37,19310,6.3,292,51.8,2086.5,9861,1055,0,2466,7350,0.3,3107,12458,144.8,8574,10287.3,0,286,100.3,7.9,10240,424.1,21412,426.6,1,31.7,0.8,64.5,3089,1807,1,53107.7,16498,5639,1645.6,8773,4755,9856,19587.6,30159,3836,74544,2242,0,4823,4467,19.8,9298,3734,0,2453.4,1778,12.3,119579.9,67926.9,2932.2,23885.2,1208,50078,160.6,402.8,21193.1,385.1,33224,32907.4,4060.6,86798.5,10747,10534.4,18879,56447,74.3,1017,213.1,1184.7,0.5,49772,767.9,0,50029.6,248.9,0,60429.3,89514,93854,0.4,250.5,36375,296.6,4534,41.1,293.6,21721,471.7,8265.1,5263.7,6531.6,5705,4357.3,20309.6,183525,1830.6,1587.5,5316.2,75.2,185005,1906.6,717372,7417,5543.2,7729.2,4581.9,1802.5,2659.2,11999,17402.7,900897,68245.4,190710,722186,85648.1,547,7398.2,60847.2,912896,8202.3,6384.3,"1,427,538",0.0
Idaho,756,1076,2951,12346,1215,6676,18033,2086,226,3493,3436,0,1533,0,1933,75,2107,785,1585,62,311,6898,11274.7,56358.4,1219,44207.7,11516,28.3,1508,8379,322.1,4895,2571.3,493.7,14404,3340,12913,986,41799,147.6,2706,511.3,606,1818.7,14299,58157,2576,38.8,2525,98.7,6581,18413,4781,5797,28041,14923.2,0,374.5,111,78111,253.4,3278,122.4,2822.9,11397,1361.6,0,1167,14164,99.3,315,29115,132.9,14819,15863.7,1517,1105,123.2,261.6,8712,147.4,18309,19,0,213,143.8,143.7,3885,3263,0,54629.9,12296,3759,416.7,13442,0,12983.9,20182.9,43138,6098,31561,9861,636,2092,3920,23.9,4096,14238,2139,3398.5,44,627,69431.7,59757,208.1,20690.4,737.6,63339,467,4831,17921,2896.9,12872,43765.5,13553.6,108295.3,11949,7532.6,70914,8687,510.6,5431,45.6,2830.2,35.7,47932,292.8,15.8,61171.1,334.6,345.4,58916.6,109057,109672,33,90.8,28810,911.5,3448,100.6,5.4,31665,3407.4,2587.1,4250.1,6461.2,22208,1838.5,12123.1,131231,1584.8,7661.3,537.6,579.3,227131,1362.4,805148,6749.7,5608.9,6948.1,1970.3,1338.3,4195.3,39423,9324.2,936379,59879.2,249339,726463,69203.4,3986.7,15898.1,43981,975802,9804.2,3308.5,"1,716,943",1.0
